Country ID;Category ID;Category Name;close whith item
62;187;Community;
62;248;Carpool;No
62;381;Community Activities;Yes
62;401;Events;No
62;244;Musicians - Artists - Bands;No
62;413;Lost And Found;Yes
62;382;Volunteers;No
62;191;Services;
62;206;Horoscopes - Tarot;Yes
62;372;Babysitter - Nanny;No
62;370;Casting - Auditions;No
62;322;Computer;No
62;324;Event Services;No
62;199;Health - Beauty - Fitness;No
62;414;Household - Domestic Help;No
62;371;Moving - Storage;No
62;198;Repair;No
62;323;Writing - Editing - Translating;No
62;207;Other Services;No
62;186;Classes;
62;281;Computer - Multimedia Classes;No
62;279;Language Classes;No
62;280;Music - Theatre - Dance;No
62;278;Tutoring - Private Lessons;No
62;283;Other Classes;No
62;190;Jobs;
62;329;Other Jobs;No
62;265;Legal Jobs;No
62;255;Clerical Jobs - Administrative Jobs;No
62;257;Arts Jobs - Entertainment Jobs - Publishing Jobs;No
62;260;Customer Service Jobs;No
62;374;Real Estate Jobs;No
62;386;Retail Jobs;No
62;270;Sales Jobs;No
62;259;Manufacturing Jobs - Operations Jobs;No
62;254;Accounting Jobs - Finance Jobs;No
62;593;Hotel Jobs - Travel Jobs;No
62;264;Internet Jobs - New Media Jobs;No
62;256;Engineering Jobs - Architecture Jobs;No
62;375;Technology Jobs;No
62;261;Education Jobs - Teaching Jobs;No
62;384;Marketing Jobs;No
62;267;Healthcare Jobs;No
62;373;Manual Labor Jobs;No
62;266;Advertising Jobs - Public Relations Jobs;No
62;263;Human Resource Jobs;No
62;385;Restaurant Jobs - Food Service Jobs;No
62;268;Non-profit Jobs - Volunteer Jobs;No
