orden_manual;orden_manual;familia;nombre;cantidad_pack;precio;visible;porcentaje_aumento;medida;material;descripcion;temporada;precio_costo;cantidad_comprada
;0073-0097;pulseras;;2;65;1;;;;;2010;1,5e;500
;117-0004;pulseras;;;;;;;;;;;
;117-0005;pulseras;;;;;;;;;;;
;424-0275-2;pulseras;;;;;;;;;;;
;424-0288;pulseras;;;;;;;;;;;
;424-0335;pulseras;;;;;;;;;;;
;424-0337;pulseras;;;;;;;;;;;
;424-0338;pulseras;;;;;;;;;;;
;424-0342;pulseras;;;;;;;;;;;
;424-0343;pulseras;;;;;;;;;;;
;514-1140-3;pulseras;;;;;;;;;;;
;452-5078;pulseras;;;;;;;;;;;
;495-0001;pulseras;;;;;;;;;;;
;495-0019;pulseras;;;;;;;;;;;
;498-0373-1;pulseras;;;;;;;;;;;
;498-0376-1;pulseras;;;;;;;;;;;
;498-0406-1;pulseras;;;;;;;;;;;
;499-1071;pulseras;;;;;;;;;;;
;499-1073;pulseras;;;;;;;;;;;
;514-1229-1;pulseras;;;;;;;;;;;
;514-1236;pulseras;;;;;;;;;;;
;514-1237-1;pulseras;;;;;;;;;;;
;514-1284;pulseras;;;;;;;;;;;
;617-0693;pulseras;;;;;;;;;;;
;617-0782;pulseras;;;;;;;;;;;
;617-0801-1;pulseras;;;;;;;;;;;
;617-0808-1;pulseras;;;;;;;;;;;
;617-0844-1;pulseras;;;;;;;;;;;
;617-0844;pulseras;;;;;;;;;;;
;617-0846;pulseras;;;;;;;;;;;
;618-0014-2;pulseras;;;;;;;;;;;
;620-0087;pulseras;;;;;;;;;;;
;620-0089;pulseras;;;;;;;;;;;
;621-0036;pulseras;;;;;;;;;;;
;628-0018;pulseras;;;;;;;;;;;
;628-0029;pulseras;;;;;;;;;;;
;640-0001;pulseras;;;;;;;;;;;
